summary,category,found_at,confidence,article_sentence,human_approved,planning,amount,amount_normalized,assets,assets_tags,award,contact,division,effective_date,event,financing_type,financing_type_normalized,financing_type_tags,headcount,job_title,job_title_tags,location,location_data,product,product_data,product_tags,recognition,vulnerability,id,company_id,source_id,year_month
"unmudl public benefit corp. partnered with amazon.com, inc. on jan 1st '22.",partners_with,20/02/25 0:00,1,in 2022 unmudl partnered with amazon and central new mexico community college to launch the unmudl original mechatronics course.,TRUE,FALSE,none,,none,[],none,none,none,01/01/22 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49c2548f-7a5b-45e3-9bbc-84477e7fd0d0,5c5eebf0-3641-5525-b95a-ea2b75e0e508,c2fad223-cfcb-403f-ae2b-a7617502254f,2025-02
"sean scott left amazon.com, inc. on dec 6th '20.",leaves,06/01/21 13:33,0.7669,"sean scott is joining the it incident software company after 15 years at amazon, where he most recently created and led <a href=""https://www.businessinsider.com/amazon-reveals-delivery-robot-scout-2019-1"">amazon's autonomous robot delivery unit</a>.",FALSE,FALSE,none,,none,[],none,sean scott,none,06/12/20 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49c25f6f-ef44-406e-ba54-37b4530e1642,none,bdeefec3-6f46-42df-ac18-6e29bb7cad90,2021-01
"reverselogix corp. identified as competitor of amazon.com, inc..",identified_as_competitor_of,05/06/20 5:17,0.7752,"in part one of this blog post reverselogix went over how important it is to have a fair and simple returns policy, especially for ecommerce sites that are competing with large retailers like amazon and zappos that offer free shipping to get products and often free returns if you need to send them back.",FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49c9867f-4c20-4be9-b11a-e7b8c9a71ccb,af50948a-e2b3-55b8-85c4-6a9881a55ec2,283b2f14-af15-4415-9901-57a2d8452f4f,2020-06
"harness inc. partnered with amazon.com, inc. on mar 23rd '19.",partners_with,23/04/19 9:00,0.7494,harness recently announced that is has teamed with amazon web services (aws) to bring continuous delivery-as-a-service to cloud-native applications and announced availability for purchase on aws marketplace.,FALSE,FALSE,none,,none,[],none,none,none,23/03/19 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49cd397d-1fa6-4c20-beb5-622d9ec185c3,caa07793-a6e6-5e12-84c8-c6f88e68a965,613339f2-aa1e-4eaf-882c-21359769eea9,2019-04
"warner bros partnered with amazon.com, inc. on dec 3rd '18.",partners_with,13/11/17 11:07,0.6617,warner bros. has also teamed up with amazon to allow amazon prime members to see aquaman five days earlier than everyone else.,FALSE,FALSE,none,,none,[],none,none,none,03/12/18 0:00,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49d417d9-2798-45cb-a208-52ed65329797,3bdf4a75-91d8-54b3-9c8a-d626b1a12864,c69740ec-4538-4dd3-8f31-dddd90735d88,2017-11
"opster ltd. partners with amazon.com, inc..",partners_with,03/05/23 22:00,0.3203,"opster has joined the amazon partner network, bringing cutting-edge opensearch & elasticsearch management solutions to the aws ecosystem.",TRUE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49d92102-c5ff-4eda-960e-f5f3836844eb,620259d4-5b8b-5c20-a3e7-ce6ce01f8a0a,4a5de2c4-4318-4b90-8852-b50ccd3f5c3c,2023-05
"amazon.com, inc. invests into assets: 50 acres of its land in manassas, virginia, united states.",invests_into_assets,24/01/24 23:00,0.6716,deschutes brewery has sold 50 acres of its land to amazon - but on the other side of the country.,TRUE,FALSE,none,,50 acres of its land,[],none,none,none,,none,none,none,[],,none,"[""information_technology""]","manassas, virginia, united states","[{""city"": ""manassas"", ""continent"": null, ""country"": ""united states"", ""fuzzy_match"": false, ""region"": null, ""state"": ""virginia"", ""zip_code"": null}]",none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49de45d9-f885-47f2-9519-c4bd357a1775,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,092d8038-f57a-4382-9c27-1c8f193b6f37,2024-01
"amazon.com, inc. launched limited time’ deals on mar 30th '20.",launches,30/03/20 1:05,0.7673,"amazon has launched some kind of flash sale this morning, with the below deals being called ‘limited time’ deals.",FALSE,FALSE,none,,none,[],none,none,none,30/03/20 0:00,none,none,none,[],,none,[],none,[],limited time’ deals,"{""full_text"": ""limited time\u2019 deals"", ""fuzzy_match"": true, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49e0695b-aebe-4006-a9fe-028277df3877,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,7cc395e7-2c0d-495a-b310-ab67a14b573f,2020-03
"amazon.com, inc. has issues with high fees visa charges for processing credit card transactions.",has_issues_with,16/11/21 22:00,0.7997,the move has been prompted by what amazon claims are “high fees visa charges for processing credit card transactions.”,FALSE,FALSE,none,,none,[],none,none,none,,none,none,none,[],,none,[],none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,high fees visa charges for processing credit card transactions,49e2bffd-7dd4-46db-8ee8-8c77cbf78de4,c9b92ffd-a2ed-5787-8b06-f4bf8d291e57,6d29bcac-3ecb-4a98-879d-d429dbfe611d,2021-11
illovo sugar africa group hired doug kasambala as group finance director on feb 1st '20.,hires,09/03/20 6:00,0.6723,"sugar manufacturer illovo sugar africa (illovo malawi’s parent company), has appointed doug kasambala as group finance director effective 1 february 2020, the first malawian to hold such a post in the group.",FALSE,FALSE,none,,none,"[""education""]",none,doug kasambala,none,01/02/20 0:00,none,none,none,[],,group finance director,"[""education"", ""directors"", ""finance""]",none,[],none,"{""full_text"": null, ""fuzzy_match"": null, ""name"": null, ""release_type"": null, ""release_version"": null}",[],none,none,49e47fdc-81c6-4c18-9aea-60a5c93c891f,c9af62f8-21c5-5ab5-88d3-06d334595958,85795ae6-b534-454a-820a-7359fc5e7895,2020-03
